"Transportation type","Area from","Area to","Vehicle Type","Departure time",km,Duration,Note,Enabled,"Vehicle rack price","Vehicle net price","Adult rack price","Adult net price","Kid rack price","Kid net price",Tax,Addons,Extras,"Regular time range enabled","Range start Regular time range","Range end Regular time range","Rack price Regular time range","Net price Regular time range","Tax Regular time range","Flight pick-up time range enabled","Range start Flight pick-up time range","Range end Flight pick-up time range","Rack price Flight pick-up time range","Net price Flight pick-up time range","Tax Flight pick-up time range","Flight drop-off time range enabled","Range start Flight drop-off time range","Range end Flight drop-off time range","Rack price Flight drop-off time range","Net price Flight drop-off time range","Tax Flight drop-off time range"
"Private shuttles","Costa Rica Marriottt (belen)","Andaz Papagayo","Toyota Coaster",,238,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Andaz Papagayo","Hyundai H-1",,238,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Andaz Papagayo","Toyota HIACE",,238,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Andaz Papagayo","Mercedes Sprinter",,238,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Arenal Observatory Lodge","Toyota Coaster",,144,3,,1,380,280,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Arenal Observatory Lodge","Hyundai H-1",,144,3,,1,180,145,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Arenal Observatory Lodge","Toyota HIACE",,144,3,,1,225,170,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Arenal Observatory Lodge","Mercedes Sprinter",,144,3,,1,295,220,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Atenas,"Toyota Coaster",,25,45m,,1,220,120,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Atenas,"Hyundai H-1",,25,45m,,1,75,50,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Atenas,"Toyota HIACE",,25,45m,,1,120,75,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Atenas,"Mercedes Sprinter",,25,45m,,1,165,90,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Bajos del Toro (El Silencio Lodge)","Toyota Coaster",,52,2,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Bajos del Toro (El Silencio Lodge)","Hyundai H-1",,52,2,,1,135,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Bajos del Toro (El Silencio Lodge)","Toyota HIACE",,52,2,,1,180,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Bajos del Toro (El Silencio Lodge)","Mercedes Sprinter",,52,2,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Bijagua,"Toyota Coaster",,191,3.5,,1,450,350,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Bijagua,"Hyundai H-1",,191,3.5,,1,235,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Bijagua,"Toyota HIACE",,191,3.5,,1,280,225,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Bijagua,"Mercedes Sprinter",,191,3.5,,1,345,270,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Blue River Resort","Toyota Coaster",,254,5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Blue River Resort","Hyundai H-1",,254,5,,1,280,240,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Blue River Resort","Toyota HIACE",,254,5,,1,325,265,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Blue River Resort","Mercedes Sprinter",,254,5,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Borinquen Mountain Resort","Toyota Coaster",,247,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Borinquen Mountain Resort","Hyundai H-1",,247,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Borinquen Mountain Resort","Toyota HIACE",,247,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Borinquen Mountain Resort","Mercedes Sprinter",,247,4,,1,395,320,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cahuita,"Toyota Coaster",,215,4.5,,1,460,360,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cahuita,"Hyundai H-1",,215,4.5,,1,245,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cahuita,"Toyota HIACE",,215,4.5,,1,290,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cahuita,"Mercedes Sprinter",,215,4.5,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cartago,"Toyota Coaster",,45,1.5,,1,290,190,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cartago,"Hyundai H-1",,45,1.5,,1,100,85,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cartago,"Toyota HIACE",,45,1.5,,1,145,110,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cartago,"Mercedes Sprinter",,45,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Casa Chameleon, Las Catalinas","Toyota Coaster",,248,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Casa Chameleon, Las Catalinas","Hyundai H-1",,248,4.5,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Casa Chameleon, Las Catalinas","Toyota HIACE",,248,4.5,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Casa Chameleon, Las Catalinas","Mercedes Sprinter",,248,4.5,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Chachagua Lodge","Toyota Coaster",,107,2.5,,1,350,250,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Chachagua Lodge","Hyundai H-1",,107,2.5,,1,160,130,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Chachagua Lodge","Toyota HIACE",,107,2.5,,1,205,155,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Chachagua Lodge","Mercedes Sprinter",,107,2.5,,1,275,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cocles,"Toyota Coaster",,235,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cocles,"Hyundai H-1",,235,4.5,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cocles,"Toyota HIACE",,235,4.5,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Cocles,"Mercedes Sprinter",,235,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Costa Rica Marriott San Jose (Belen)","Toyota Coaster",,6,30m,,1,200,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Costa Rica Marriott San Jose (Belen)","Hyundai H-1",,6,30m,,1,50,35,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Costa Rica Marriott San Jose (Belen)","Toyota HIACE",,6,30m,,1,95,50,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Costa Rica Marriott San Jose (Belen)","Mercedes Sprinter",,6,30m,,1,145,70,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Curridibat,"Toyota Coaster",,26,1,,1,225,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Curridibat,"Hyundai H-1",,26,1,,1,65,45,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Curridibat,"Toyota HIACE",,26,1,,1,110,70,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Curridibat,"Mercedes Sprinter",,26,1,,1,160,85,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Dominical,"Toyota Coaster",,188,3.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Dominical,"Hyundai H-1",,188,3.5,,1,220,180,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Dominical,"Toyota HIACE",,188,3.5,,1,265,205,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Dominical,"Mercedes Sprinter",,188,3.5,,1,335,260,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Dreams Las Mareas","Toyota Coaster",,276,5.5,,1,510,410,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Dreams Las Mareas","Hyundai H-1",,276,5.5,,1,295,250,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Dreams Las Mareas","Toyota HIACE",,276,5.5,,1,340,275,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Dreams Las Mareas","Mercedes Sprinter",,276,5.5,,1,435,360,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Castillo","Toyota Coaster",,146,3,,1,380,280,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Castillo","Hyundai H-1",,146,3,,1,180,145,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Castillo","Toyota HIACE",,146,3,,1,225,170,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Castillo","Mercedes Sprinter",,146,3,,1,295,220,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Mangroove Resort","Toyota Coaster",,226,4,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Mangroove Resort","Hyundai H-1",,226,4,,1,250,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Mangroove Resort","Toyota HIACE",,226,4,,1,295,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","El Mangroove Resort","Mercedes Sprinter",,226,4,,1,375,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Escazu,"Toyota Coaster",,19,30m,,1,200,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Escazu,"Hyundai H-1",,19,30m,,1,55,40,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Escazu,"Toyota HIACE",,19,30m,,1,100,65,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Escazu,"Mercedes Sprinter",,19,30m,,1,145,70,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Esterillos Este/Oeste","Toyota Coaster",,110,2,,1,370,270,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Esterillos Este/Oeste","Hyundai H-1",,110,2,,1,150,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Esterillos Este/Oeste","Toyota HIACE",,110,2,,1,195,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Esterillos Este/Oeste","Mercedes Sprinter",,110,2,,1,255,180,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Fiesta Resort, Puntarenas","Toyota Coaster",,75,1.5,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Fiesta Resort, Puntarenas","Hyundai H-1",,75,1.5,,1,125,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Fiesta Resort, Puntarenas","Toyota HIACE",,75,1.5,,1,170,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Fiesta Resort, Puntarenas","Mercedes Sprinter",,75,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Four Seasons Papagayo","Toyota Coaster",,243,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Four Seasons Papagayo","Hyundai H-1",,243,4.5,,1,260,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
